Year,Month,SAC,YOLO,SJR,Total_Inflow,CCC,SWP,CVP,NBAQ,SWP+CVP,EXPORT,GCD,CD,Qwest,RIO,OUT,X2,DICU,Outflow,Rio,RS_250,RS_Ant_150,CW_M&I,Tracy_250,Emm,JP,CW_Ag,Term_SAL,SB_PP,SB_PP_CW,SB_Chipps,SB_Antioch,Chipps_Survival,Rio_Vista,Chipps_EC,Chipps_Flow,SWP,CVP,Fish_Xchan_cost,Tracy_cost,M&I_cost,M&I+Tracy,Ag_Cost,Ag_+_M&I_+_Tracy,Fish_Cost,Fsh+M+I+A+T,export_loss,F+M+I+A+T+Ex,Surplus,CW,Net_surplus,January,X2,Jul-Sep,Oct-Dec,CVPIA/ESA,Capacity,CVPIA/ESA_loss,ESA_export_loss
1980,1,3605.36,2499.23,803.58,7439.42,3.62,387.99,0,0,387.99,391.6,74.38,-221.25,1617.51,5636.07,7269.07,,-161.65,7209.47,5619.38,231.28,290.44,0,194.88,0,0,0,0,0,0,0,0,0,153.72,256.92,405.82,0,0,0,194.88,95.56,290.44,0,290.44,405.82,405.82,0,405.82,6803.66,0,6803.66,,,,,,,,
1980,2,3024.2,2675.02,1072.66,7234.8,3.11,194.2,158.38,0,352.58,355.69,50.78,-118.56,1706.83,5282.54,6997.66,,-215.92,7095.02,5309.8,216.36,271.7,0,182.31,0,0,0,0,0,0,0,0,0,172.56,240.34,575.21,0,0,0,182.31,89.39,271.7,0,271.7,575.21,575.21,0,575.21,6519.82,0,6519.82,,,,,,,,
1980,3,3402.64,1094.06,1551.47,6350.52,3.34,65.75,198.98,0,264.73,268.08,80.53,-14.16,2098.44,3997.17,6096.61,,31.18,6051.26,3984.48,231.28,290.44,0,194.88,0,0,0,0,0,0,0,0,0,247.93,256.92,614.88,0,0,0,194.88,95.56,290.44,0,290.44,614.88,614.88,0,614.88,5436.39,0,5436.39,,,,,,,,
1980,4,1344,3.31,609.88,2063.15,4.43,88.8,228.34,0,317.13,321.56,111.87,38.08,641.35,1064.82,1703.51,,66.95,1674.64,1056.74,223.82,281.07,0,188.59,487.81,433.58,0,277.5,257.43,0,186.05,235.37,0,297.52,248.63,595.04,0,0,0,188.59,92.48,281.07,487.81,487.81,595.04,595.04,0,595.04,1079.6,0,1079.6,,,,,,,,
1980,5,977.26,2.21,609.48,1696.21,8.38,103.78,179.21,0,283,291.38,149.65,125.67,564.56,723.39,1279.16,,127.21,1277.62,722.96,231.28,290.44,0,194.88,504.07,448.04,0,286.75,42.91,0,0,73.55,721.98,307.44,256.92,614.88,184.46,184.46,0,194.88,95.56,290.44,504.07,504.07,821.16,821.16,266.32,1087.47,456.47,0,190.15,,,,,,,,
1980,6,1059.97,1.71,315.69,1462.45,9.83,179.22,170.37,0,349.59,359.42,222.94,222.94,271.62,624.07,880.08,,183.69,919.34,635.06,223.82,281.07,0,188.59,487.81,433.58,0,277.5,0,0,0,0,833.06,297.52,0,0,178.51,178.51,0,188.59,92.48,281.07,487.81,487.81,833.06,833.06,89.35,922.41,86.28,0,-3.07,,,,,,,,
1980,7,1089.92,1.69,208.05,1343.61,10.69,138.5,280.91,0,419.41,430.1,267.57,233.14,118.19,578.5,680.37,,253.27,660.24,572.86,231.28,290.44,0,194.88,504.07,448.04,0,286.75,0,0,0,0,614.88,184.46,0,0,282.84,0,0,194.88,95.56,290.44,504.07,504.07,614.88,614.88,7.18,622.06,45.37,0,38.19,,,,,,,,
1980,8,917.16,1.32,121.07,1060.67,12.12,283.16,279.2,0,562.36,574.48,232.76,232.76,-186.37,456.09,253.43,,173.92,312.27,472.57,231.28,252.96,16.52,194.88,243.9,216.79,19.63,138.75,0,0,0,0,0,61.49,0,0,0,0,0,194.88,104.45,299.33,244.11,402.91,0,402.91,0,402.91,-90.63,36.15,-90.63,,,,,,,,
1980,9,945.32,0.48,226.21,1202.95,10.77,243.48,208.79,0,452.27,463.04,156.6,156.6,93.64,500.64,583.32,,96.96,642.96,517.34,223.82,0,0.91,188.59,0,0,0,0,0,0,0,0,0,297.52,0,0,0,0,0,188.59,36.13,224.72,0,224.72,0,224.72,0,224.72,418.24,0.91,418.24,,,,,,,,
1980,10,697.49,0.42,250.39,976.44,10.12,185.08,219.28,0,404.36,414.49,114.64,111.81,93.52,364.45,450.14,,75.57,486.38,374.6,231.28,0,1.5,194.88,0,0,0,0,0,0,0,0,0,307.44,256.92,0,0,0,1.39,194.88,36.51,231.39,0,231.39,258.3,258.3,0,258.3,228.07,1.5,228.07,,,,,,,,
1980,11,646.91,0.65,195.03,875.62,7.04,148.01,229.18,0,377.2,384.24,102.94,94.98,-18.06,421.11,396.4,,56.31,435.07,431.94,223.82,0,4.54,188.59,0,0,0,0,0,0,0,0,0,297.52,248.63,0,0,0,4.54,188.59,35.22,223.82,0,223.82,253.17,253.17,0,253.17,181.9,4.54,181.9,,,,,,,,
1980,12,997.69,1.02,175,1189.59,4.52,174.33,225.19,0,399.52,404.04,124.36,37.38,179.21,571.58,748.17,,51.53,734.02,567.61,223.82,0,0,188.59,0,0,0,0,0,0,0,0,0,297.52,248.63,0,0,0,0,188.59,35.22,223.82,0,223.82,248.63,248.63,0,248.63,485.39,0,485.39,,,,,,,,
1981,1,1138.12,59.94,199.87,1431.8,5.3,251.8,251.08,0,502.88,508.19,74.38,-203.16,202.72,909.83,1126.78,5.32,-45.28,968.89,865.63,231.28,290.44,1.43,194.88,0,0,0,0,0,0,0,0,0,92.23,256.92,405.82,0,0,0,194.88,96.99,291.87,0,291.87,405.82,405.82,0,405.82,563.07,1.43,563.07,,,,,,,,
1981,2,1346.18,39.81,159.89,1565.04,4.3,194.89,203.02,0,397.91,402.21,48.89,-12.97,10.33,1164.57,1175.8,4.35,20.14,1142.69,1155.3,208.9,262.33,0,176.02,0,0,0,0,0,0,0,0,0,55.54,232.06,366.55,0,0,0,176.02,86.31,262.33,0,262.33,366.55,366.55,0,366.55,776.15,0,776.15,,,,,,,,
1981,3,1507.04,15.98,191.96,1798.43,4.87,172.99,119.39,0,292.38,297.24,80.53,-127.21,312.23,1307.25,1628.39,4.75,-10.05,1511.24,1274.45,231.28,290.44,0,194.88,0,0,0,0,0,0,0,0,0,93.22,256.92,405.82,0,0,0,194.88,95.56,290.44,0,290.44,405.82,405.82,0,405.82,1105.42,0,1105.42,,,,,,,,
1981,4,1024.92,1.92,150.68,1203.59,6.33,256.13,219.19,0,475.32,481.65,111.87,28.86,-37.58,732.68,693.08,4.74,90.43,631.51,715.44,223.82,281.07,0,188.59,487.81,433.58,31.12,277.5,257.43,0,186.05,235.37,0,119.01,248.63,392.73,0,0,0,188.59,92.48,281.07,498.39,498.39,421.42,498.39,0,498.39,133.12,31.12,133.12,,,,,,,,
1981,5,847.34,1.26,120.93,986.58,13,69.51,192.83,0,262.34,275.34,149.65,149.09,98.15,474.44,562.15,5.5,179.69,531.55,465.87,231.28,290.44,0,194.88,504.07,448.04,10.32,286.75,42.91,0,0,73.55,221.75,122.98,256.92,405.82,184.46,184.46,0,194.88,95.56,290.44,507.13,507.13,413.92,507.13,21.88,529,24.42,10.32,2.54,,,,,,,,
1981,6,638.4,1.07,89.18,736.35,14.22,19.97,205.75,0,225.72,239.94,222.94,222.94,23.41,265.66,273.47,5.38,290.01,206.4,246.88,223.82,131.17,0,188.59,397.09,357.91,6.48,271.75,0,0,0,0,214.21,119.01,0,0,178.51,178.51,0,188.59,61.94,250.54,397.09,397.09,214.21,397.09,0,397.09,-190.68,6.48,-190.68,,,,,,,,
1981,7,940.96,1.06,77.79,1027.14,14.61,151.1,267.52,0,418.62,433.24,267.67,267.67,-117.91,462.88,326.24,5.71,294.3,299.6,455.43,231.28,0,0,194.88,316.58,291.65,27.69,257.01,0,0,0,0,196.76,61.49,0,0,282.84,0,0,194.88,36.4,231.28,325.13,325.13,196.76,325.13,2.12,327.25,-25.53,27.69,-27.65,,,,,,,,
